Seleccion,Grupos_%,Dieciseisavos_%,Octavos_%,Cuartos_%,Semis_%,Finalista_%,Campeon_%
Alemania,4.29,24.96,33.12,14.2,10.13,6.54,6.75
Colombia,18.22,44.85,21.52,9.24,4.24,1.37,0.56
Haití,85.67,12.12,1.79,0.35,0.07,0.0,0.0
Paraguay,41.5,36.42,15.99,4.52,1.26,0.25,0.06
Arabia Saudita,77.15,19.62,2.69,0.48,0.06,0.0,0.0
Corea del Sur,20.03,54.98,19.13,4.63,0.96,0.21,0.06
Inglaterra,1.44,21.7,20.89,19.3,13.11,9.17,14.4
Portugal,1.73,22.88,19.65,19.14,16.23,8.95,11.42
Argelia,14.61,55.39,17.37,8.05,3.37,0.89,0.32
Costa de Marfil,11.79,33.49,31.66,12.44,5.9,3.01,1.71
Irak,97.28,2.36,0.31,0.04,0.01,0.0,0.0
República Checa,12.11,56.11,23.31,6.45,1.49,0.42,0.12
Argentina,1.52,34.16,18.07,18.05,13.43,7.16,7.61
Croacia,11.77,38.98,26.68,12.8,6.2,2.36,1.2
República Democrática del Congo,44.16,39.31,11.39,3.74,1.1,0.24,0.05
Irán,70.23,25.56,3.62,0.52,0.06,0.02,0.0
Australia,75.49,17.71,5.39,1.15,0.21,0.05,0.0
Curazao,96.72,2.79,0.41,0.06,0.01,0.0,0.0
Japón,28.45,44.3,17.42,6.86,2.14,0.63,0.2
Senegal,17.25,42.41,20.62,11.22,4.99,2.24,1.27
Austria,19.63,54.99,15.9,6.59,2.16,0.56,0.17
Ecuador,14.56,34.38,31.1,11.48,5.0,2.19,1.3
Jordania,95.22,4.2,0.5,0.06,0.01,0.0,0.0
Sudáfrica,82.82,14.55,2.24,0.33,0.05,0.0,0.0
Bélgica,0.83,35.57,27.88,20.03,9.28,3.98,2.43
Egipto,10.12,60.73,22.29,5.31,1.28,0.21,0.06
Marruecos,10.16,50.89,17.64,13.11,4.87,2.22,1.1
Suecia,9.97,45.69,20.42,14.25,5.47,2.66,1.54
Bosnia y Herzegovina,21.11,45.29,24.83,6.75,1.53,0.41,0.09
Escocia,36.9,48.84,9.13,3.84,0.93,0.29,0.07
México,14.68,56.03,21.97,5.62,1.26,0.36,0.08
Suiza,4.77,32.81,38.27,15.32,5.99,2.0,0.84
Brasil,2.41,35.12,22.91,17.48,9.18,6.05,6.83
España,0.95,28.85,21.63,15.12,14.34,8.47,10.64
Noruega,12.12,38.94,22.27,13.34,6.82,3.77,2.74
Túnez,89.06,8.92,1.68,0.28,0.04,0.02,0.0
Canadá,12.9,42.01,31.53,9.79,2.78,0.75,0.24
Francia,2.2,21.49,21.69,15.04,12.42,9.41,17.75
Países Bajos,4.24,38.44,18.65,19.89,8.97,5.27,4.54
Uruguay,6.73,56.15,18.58,10.94,5.19,1.67,0.74
Catar,91.21,7.33,1.27,0.18,0.01,0.0,0.0
Ghana,24.78,44.28,19.29,7.82,2.74,0.8,0.29
Panamá,93.8,5.29,0.77,0.13,0.02,0.0,0.0
Uzbekistán,73.24,20.84,4.58,1.05,0.24,0.04,0.0
Cabo Verde,56.67,36.62,5.39,1.1,0.19,0.03,0.01
Estados Unidos,10.56,35.05,30.58,14.45,6.3,2.1,0.96
Nueva Zelanda,60.25,33.57,5.38,0.68,0.1,0.01,0.0
Turquía,6.67,33.01,30.61,16.81,7.87,3.2,1.84
